iter	RMSE
128	0.2023339022
129	0.2022014823
130	0.2021166354
131	0.2020686692
132	0.2020134107
133	0.2019323061
134	0.2018891421
135	0.2018016417
136	0.20176872
137	0.2016911858
138	0.2016169424
139	0.2015107296
140	0.2013902778
141	0.2012354375
142	0.2012036004
143	0.2011090051
144	0.2009952736
145	0.2007954738
146	0.200719423
147	0.200679402
148	0.2006319558
149	0.2005793728
150	0.2005119082
151	0.2004619486
152	0.2003578212
153	0.2002819514
154	0.2001341576
155	0.200083228
156	0.2000389448
157	0.1999335014
158	0.199814493
159	0.1997845493
160	0.1997251227
161	0.1996212312
162	0.1995467728
163	0.1994995444
164	0.1994111117
165	0.1993053584
166	0.1992120753
167	0.1990796009
168	0.1990164671
169	0.1989651106
170	0.1989036972
171	0.1988213592
172	0.1987837341
173	0.1986675836
174	0.1985525012
175	0.1984977235
176	0.198426529
177	0.198356753
178	0.1982483287
179	0.1981597091
180	0.1980732208
181	0.1980201967
182	0.1979223749
183	0.1978424657
184	0.1978005268
185	0.1976954438
186	0.1975523675
187	0.1974982154
188	0.1974510538
189	0.1973809952
190	0.1973261207
191	0.1972351319
192	0.1971828262
193	0.1971490069
194	0.1970608385
195	0.1970283367
196	0.1969919456
197	0.1969394285
198	0.1968674244
199	0.1967948302
200	0.1966976466
201	0.1966258818
202	0.1965696842
203	0.1965340812
204	0.1964949771
205	0.1964292217
206	0.1963429078
207	0.1962643059
208	0.1962093515
209	0.1961657886
210	0.1961174174
211	0.1960701583
212	0.1960042195
213	0.1959530491
214	0.1958887725
215	0.1958198963
216	0.1957565364
217	0.195716262
218	0.1956337904
219	0.195597551
220	0.1955143516
221	0.1954495583
222	0.1953500711
223	0.1952810125
224	0.195231516
225	0.1951272078
226	0.1950485937
227	0.1949623749
228	0.1949077129
229	0.1948797839
230	0.1948319036
231	0.1947814556
232	0.1947348653
233	0.1947139737
234	0.1946844592
235	0.1946271862
236	0.1945271534
237	0.1944754517
238	0.1944373688
239	0.1943383389
240	0.1943001797
241	0.1942530923
242	0.1941786808
243	0.1941402324
244	0.1941075033
245	0.1940421571
246	0.1939986069
247	0.1939534195
248	0.1939152711
249	0.1938888123
250	0.1938324267
251	0.1937938651
252	0.1937580888
253	0.1937201802
254	0.1936631345
255	0.1936231155
256	0.1935864406
257	0.1935636585
258	0.193513611
259	0.1934520959
260	0.1933873573
261	0.1933610048
262	0.1933110304
263	0.1932665621
264	0.1932353837
265	0.1931863861
266	0.1931032496
267	0.1930453453
268	0.1929639038
269	0.1929120457
270	0.1928734927
271	0.1927955432
272	0.1927401884
273	0.192700291
274	0.1926297374
275	0.1925970871
276	0.1925436584
277	0.1924924113
278	0.1924617886
279	0.1924125159
280	0.1923403843
281	0.1923016246
282	0.1922731132
283	0.1922340156
284	0.1922048058
285	0.1921263267
286	0.1920843376
287	0.1920226886
288	0.1919375972
289	0.1918944395
290	0.1918336345
291	0.1917913192
292	0.1917610327
293	0.191721611
294	0.1916875557
295	0.1916448093
296	0.1916136869
297	0.1915701387
298	0.1915301826
299	0.1914712087
300	0.1914361826
301	0.1914023624
302	0.1913816506
303	0.1913388212
304	0.1913200239
305	0.1912604084
306	0.1912125444
307	0.1911689279
308	0.1911095945
309	0.1910467763
310	0.1910225174
311	0.190965469
312	0.1909408874
313	0.1909036988
314	0.1908880305
315	0.190785532
316	0.1907486363
317	0.1907179311
318	0.1906974835
319	0.1906607099
320	0.1906277636
321	0.1905997233
322	0.1905657967
323	0.190514097
324	0.1904806291
325	0.1904495447
326	0.1903985798
327	0.1903520623
328	0.1903336207
329	0.190275931
330	0.1902368137
331	0.1902133348
332	0.1901897356
333	0.1901564081
334	0.1901242507
335	0.1900951959
336	0.1900689696
337	0.189965632
338	0.1899114781
339	0.189893421
340	0.1898692426
341	0.189832564
342	0.1897988461
343	0.189768567
344	0.189732975
345	0.1896989534
346	0.1896763511
347	0.1896213754
348	0.1896024008
349	0.1895788002
350	0.1895649488
351	0.1895389026
352	0.1895116804
353	0.1894814278
354	0.189456939
355	0.1894161236
356	0.1893540043
357	0.1893338694
358	0.1893060779
359	0.1892485686
360	0.1892120998
361	0.1891877235
362	0.1891527461
363	0.1890990738
364	0.1890433
365	0.1890243429
366	0.1890016001
367	0.1889690148
368	0.188926267
369	0.1888720349
370	0.1888460015
371	0.1888057828
372	0.1887797322
373	0.1887499783
374	0.1886915405
375	0.1886515718
376	0.1886161166
377	0.1885700923
378	0.1885142443
379	0.1884907379
380	0.188459327
381	0.1884281746
382	0.1883776109
383	0.188352301
384	0.1883114231
385	0.1882801101
386	0.1882502472
387	0.1882244544
388	0.1881679432
389	0.1880920142
390	0.1880643368
391	0.1880368293
392	0.1879720808
393	0.1879429559
394	0.1879110417
395	0.1878883163
396	0.1878478187
397	0.1878251944
398	0.1877924514
399	0.1877470544
400	0.1877214412
401	0.1876839253
402	0.1876513071
403	0.1876257149
404	0.1876012729
405	0.1875682036
406	0.1875501814
407	0.1875290116
408	0.1874875262
409	0.1874482166
410	0.1874109826
411	0.1873879704
412	0.1873582248
413	0.1873417248
414	0.1873074569
415	0.1872860294
416	0.1872419244
417	0.1872104896
418	0.1871876324
419	0.1871747144
420	0.1871472455
421	0.1871136795
422	0.187073596
423	0.1870392864
424	0.1870218649
425	0.1869704955
426	0.1869259961
427	0.18688118
428	0.1868369501
429	0.1868090402
430	0.1867828645
431	0.1867522559
432	0.1867142058
433	0.1866774378
434	0.1866168633
435	0.1865802587
436	0.186555196
437	0.1865300338
438	0.1864999769
439	0.186462046
440	0.1864384929
441	0.1864147908
442	0.1863871589
443	0.1863583513
444	0.1863382951
445	0.1863049661
446	0.1862662219
447	0.1862421388
448	0.1862194648
449	0.1861814036
450	0.1861545347
451	0.1861188466
452	0.1860955459
453	0.1860729737
454	0.1860386382
455	0.1860046628
456	0.1859827543
457	0.1859727955
458	0.1859230856
459	0.1859003298
460	0.1858803346
461	0.1858522313
462	0.1858120252
463	0.1857906385
464	0.1857691608
465	0.1857414795
466	0.1857295436
467	0.1857140106
468	0.1856802269
469	0.1856360295
470	0.1855964251
471	0.1855776516
472	0.18555178
473	0.1855338593
474	0.1855152793
475	0.1854837145
476	0.1854647761
477	0.1854491968
478	0.1854048566
479	0.1853562
480	0.1853463894
481	0.1853240428
482	0.1852916339
483	0.1852730171
484	0.1852302787
485	0.1851976824
486	0.1851668912
487	0.1851276446
488	0.1851049772
489	0.1850787029
490	0.1850554959
491	0.1850333467
492	0.1850185458
493	0.1849947312
494	0.1849530356
495	0.1849171843
496	0.1848842783
497	0.1848549794
498	0.1848181235
499	0.1847798441
500	0.1847423157
501	0.1847095022
502	0.1846950189
503	0.1846661198
504	0.1846455866
505	0.1846222766
506	0.1845988703
507	0.1845688667
508	0.1845458152
509	0.1845005278
510	0.1844741396
511	0.1844373329
512	0.1844028516
513	0.1843901763
514	0.1843662329
515	0.1843286101
516	0.1843016821
517	0.1842747094
518	0.1842218192
519	0.1841978748
520	0.1841533649
521	0.1841236231
522	0.1841078696
523	0.18409736
524	0.1840787174
525	0.1840641089
526	0.1840450729
527	0.1840133519
528	0.1840025245
529	0.1839823114
530	0.1839295886
531	0.1838874226
532	0.1838707456
533	0.1838441604
534	0.1838260843
535	0.1837964785
536	0.1837587322
537	0.1837188204
538	0.183693026
539	0.1836668152
540	0.1836302391
541	0.1836064379
542	0.1835930947
543	0.1835734787
544	0.1835003899
545	0.1834640778
546	0.1834425704
547	0.1834280825
548	0.18339629
549	0.1833788205
550	0.1833617517
551	0.1833353398
552	0.1833181537
553	0.1832825735
554	0.1832494399
555	0.1832354652
556	0.1832129898
557	0.1831942736
558	0.1831644375
559	0.1831280606
560	0.1831153353
561	0.1830908026
562	0.1830525585
563	0.1830248532
564	0.1830014792
565	0.1829847482
566	0.1829495266
567	0.1829233218
568	0.182899892
569	0.1828723289
570	0.1828587849
571	0.1828428715
572	0.1828222007
573	0.1828048296
574	0.1827827999
575	0.1827536967
576	0.1827358791
577	0.1827088409
578	0.1826855882
579	0.1826655681
580	0.1826344602
581	0.1826264887
582	0.1826073592
583	0.1825988002
584	0.1825755611
585	0.1825394581
586	0.1825170014
587	0.1824810103
588	0.1824606554
589	0.1824330171
590	0.1824100566
591	0.1823834025
592	0.1823651599
593	0.1823507431
594	0.1823104242
595	0.1822874502
596	0.1822562499
597	0.1822325908
598	0.1822026901
599	0.1821776266
600	0.1821397246
601	0.1821057547
602	0.1820922676
603	0.1820692553
604	0.1820581018
605	0.1820166267
606	0.1819960468
607	0.1819830496
608	0.1819457229
609	0.1819168514
610	0.1818897071
611	0.1818787881
612	0.1818585954
613	0.1818388175
614	0.1818238289
615	0.181798744
616	0.1817786526
617	0.1817609681
618	0.1817419615
619	0.181713825
620	0.1816997848
621	0.1816850647
622	0.1816690526
623	0.1816609997
624	0.1816478438
625	0.1816208622
626	0.1816056937
627	0.1815848867
628	0.1815750597
629	0.1815383705
630	0.1814742182
631	0.1814367367
632	0.1814009063
633	0.1813749549
634	0.1813611974
635	0.181353225
636	0.1813418336
637	0.1813125073
638	0.1812774663
639	0.1812457688
640	0.1812105785
641	0.1811783601
642	0.1811526935
643	0.1811380218
644	0.1811196522
645	0.1811060789
646	0.1810753083
647	0.1810431292
648	0.1810168858
649	0.1809795851
650	0.1809599769
651	0.1809411907
652	0.1809150704
653	0.1808589956
654	0.1808414116
655	0.1808198241
656	0.1808037357
657	0.1807828638
658	0.1807710262
659	0.1807493728
660	0.1807234215
661	0.1807045286
662	0.1806868135
663	0.1806598343
664	0.1806379112
665	0.1806243005
666	0.180593335
667	0.1805779398
668	0.1805481067
669	0.1805128592
670	0.1804917879
671	0.1804642768
672	0.1804536142
673	0.1804374317
674	0.1804202456
675	0.1803986917
676	0.1803881391
677	0.180372591
678	0.1803603014
679	0.180330447
680	0.1803171545
681	0.1803038009
682	0.1802813755
683	0.1802480488
684	0.1802222102
685	0.1801872253
686	0.1801828206
687	0.180170471
688	0.1801436169
689	0.1801349331
690	0.180116723
691	0.180106455
692	0.180095165
693	0.1800778328
694	0.1800609505
695	0.1800501034
696	0.1800298255
697	0.1800163351
698	0.1799786288
699	0.1799615903
700	0.1799461014
701	0.1799282663
702	0.1799113817
703	0.1798746493
704	0.17986228
705	0.1798463231
706	0.1798114813
707	0.1797989178
708	0.1797655253
709	0.1797399264
710	0.1797115085
711	0.1796891196
712	0.1796639834
713	0.179631431
714	0.1796033662
715	0.1795886212
716	0.1795739562
717	0.1795581021
718	0.1795439917
719	0.1795226399
720	0.1794960429
721	0.1794880448
722	0.1794712848
723	0.1794601155
724	0.1794394609
725	0.1794158744
726	0.1793919862
727	0.1793763081
728	0.1793622475
729	0.1793443579
730	0.1793257751
731	0.1793134583
732	0.1792861804
733	0.1792539727
734	0.1792417602
735	0.1792222945
736	0.1792061798
737	0.179190223
738	0.1791650684
739	0.1791496842
740	0.1791362984
741	0.179117159
742	0.17910684
743	0.1790836509
744	0.1790532009
745	0.1790393434
746	0.1790288774
747	0.1790161026
748	0.1789993919
749	0.1789724235
750	0.1789444298
751	0.178930157
752	0.1789237412
753	0.1789170279
754	0.1789058301
755	0.178887986
756	0.1788634207
757	0.1788398471
758	0.1788275147
759	0.1788075883
760	0.178781179
761	0.1787654605
762	0.1787519508
763	0.1787263931
764	0.178709543
765	0.1786663322
766	0.1786561327
767	0.178629187
768	0.178603314
769	0.1785878561
770	0.1785727171
771	0.1785591418
772	0.1785371432
773	0.1785082469
774	0.1784968104
775	0.1784824536
776	0.178463495
777	0.1784497959
778	0.1784225167
779	0.1784110291
780	0.178383039
781	0.178368013
782	0.1783535306
783	0.1783345461
784	0.1783182521
785	0.1782953207
786	0.1782707701
787	0.1782496618
788	0.1782228931
789	0.1782078723
790	0.1781943524
791	0.1781789756
792	0.1781528877
793	0.1781192771
794	0.1780940903
795	0.1780786
796	0.1780529154
797	0.1780347636
798	0.1780076623
799	0.178003888
800	0.1779837438
801	0.1779654402
802	0.1779298486
803	0.1779056692
804	0.1778898315
805	0.1778771932
806	0.1778736999
807	0.177843902
808	0.1778290065
809	0.1778122788
810	0.1777954177
811	0.1777662477
812	0.1777482546
813	0.1777319673
814	0.1777171412
815	0.1776989761
816	0.1776828337
817	0.1776665398
818	0.1776405491
819	0.1776172362
820	0.1776015703
821	0.177591769
822	0.1775790553
823	0.177543714
824	0.1775202628
825	0.1775039613
826	0.1774782851
827	0.1774610718
828	0.1774479535
829	0.1774325408
830	0.1774168664
831	0.1773926523
832	0.1773653732
833	0.177353497
834	0.1773298512
835	0.1773198619
836	0.177289312
837	0.1772678882
838	0.1772482996
839	0.1772409836
840	0.1772327875
841	0.1772189712
842	0.1772004108
843	0.1771792618
844	0.1771521377
845	0.1771399354
846	0.1770906226
847	0.1770738688
848	0.1770557641
849	0.1770481526
850	0.1770282914
851	0.1770207296
852	0.1769917034
853	0.1769747898
854	0.176961091
855	0.1769438149
856	0.1769277022
857	0.1769096998
858	0.1768839873
859	0.1768660327
860	0.1768449918
861	0.1768153036
862	0.1768028603
863	0.1767898459
864	0.1767700461
865	0.1767577747
866	0.1767261307
867	0.176714035
868	0.1766938444
869	0.1766729109
870	0.1766634922
871	0.1766443569
872	0.1766169418
873	0.1765992373
874	0.1765785575
875	0.1765636039
876	0.1765074598
877	0.17648992
878	0.1764733839
879	0.1764568031
880	0.1764436603
881	0.1764254439
882	0.1763974067
883	0.1763904302
884	0.1763766255
885	0.1763646091
886	0.1763546299
887	0.1763336233
888	0.1763089131
889	0.1762864796
890	0.1762690038
891	0.1762557796
892	0.1762332641
893	0.1762195954
894	0.1761993544
895	0.1761525388
896	0.1761293332
897	0.1761133073
898	0.1760882018
899	0.1760383182
900	0.1760293691
901	0.1760162761
902	0.1759962319
903	0.1759765887
904	0.1759612904
905	0.1759450793
906	0.1759403248
907	0.1759201077
908	0.1759061157
909	0.1758829673
910	0.1758646364
911	0.1758439279
912	0.175828673
913	0.1758033244
914	0.1757956159
915	0.1757801649
916	0.1757665996
917	0.1757531542
918	0.1757426867
919	0.175717207
920	0.175686967
921	0.1756735753
922	0.1756593635
923	0.1756329613
924	0.1756130555
925	0.1755877722
926	0.1755739908
927	0.1755556793
928	0.1755449527
929	0.1755222464
930	0.1755099036
931	0.1755019209
932	0.1754903307
933	0.1754667711
934	0.1754503161
935	0.1754391367
936	0.1754314371
937	0.1754089385
938	0.1753828722
939	0.1753550463
940	0.1753428633
941	0.175326017
942	0.1753156777
943	0.1752966418
944	0.1752810975
945	0.1752720176
946	0.1752621166
947	0.1752483693
948	0.1752289056
949	0.1752046202
950	0.1751897913
951	0.1751790628
952	0.1751632254
953	0.1751426119
954	0.1751306023
955	0.1751194618
956	0.1751062926
957	0.1750888573
958	0.175077544
959	0.175063313
960	0.1750509629
961	0.1750370373
962	0.1750236956
963	0.1750008622
964	0.1749803866
965	0.1749632171
966	0.1749529503
967	0.1749407604
968	0.1749161761
969	0.1748906909
970	0.1748702651
971	0.1748402175
972	0.17481875
973	0.1748038206
974	0.1747927894
975	0.1747720552
976	0.1747577974
977	0.1747372975
978	0.1747243532
979	0.1747148932
980	0.1746963725
981	0.1746802445
982	0.1746718957
983	0.1746555383
984	0.1746519494
985	0.174639818
986	0.174629761
987	0.1746107188
988	0.1745876372
989	0.1745747133
990	0.1745514354
991	0.174542889
992	0.1745241213
993	0.174511832
994	0.1744951931
995	0.1744767214
996	0.1744569386
997	0.1744370831
998	0.1744302091
999	0.1744183904
